year,rider_id,name,team,class,cost,selected_pct,total_points,overall_rank
2024,20240456,Christopher Juul-Jensen,Team Jayco AlUla,Unclassed,4,2.2,54,123
2024,20240405,Warren Barguil,Team dsm-firmenich PostNL,Climber,6,3.3,52,124
2024,20240190,Oliver Naesen,Decathlon AG2R La Mondiale Team,Unclassed,4,7.3,52,124
2024,20240182,Dorian Godon,Decathlon AG2R La Mondiale Team,Unclassed,6,1.3,51,126
2024,20240304,Laurenz Rex,Intermarché - Wanty,Sprinter,6,0.2,51,126
2024,20240295,Hugo Page,Intermarché - Wanty,Unclassed,6,0.1,48,128
2024,20240816,Mathieu Burgaudeau,TotalEnergies,Unclassed,6,0.9,48,128
2024,20240869,Rasmus Tiller,Uno-X Mobility,Sprinter,6,0.1,48,128
2024,20240293,Georg Zimmermann,Intermarché - Wanty,Unclassed,6,1.9,46,131
2024,20240358,Gregor Mühlberger,Movistar Team,Unclassed,6,0.3,46,131
2024,20240335,Carlos Verona,Lidl - Trek,Unclassed,6,0.4,45,133
2024,20240193,Paul Lapeira,Decathlon AG2R La Mondiale Team,Unclassed,6,6.9,44,134
2024,20240204,Neilson Powless,EF Education-EasyPost,All Rounder,6,6.1,44,134
2024,20240064,Cees Bol,Astana Qazaqstan Team,Sprinter,6,0.3,42,136
2024,20240090,Matej Mohorič,Bahrain - Victorious,Unclassed,6,15.9,42,136
2024,20240220,Sean Quinn,EF Education-EasyPost,Unclassed,6,0.7,40,138
2024,20240147,Ion Izagirre,Cofidis,All Rounder,6,1.3,36,139
2024,20240246,Kevin Geniets,Groupama - FDJ,Unclassed,6,0.1,36,139
2024,20240410,Nils Eekhoff,Team dsm-firmenich PostNL,Unclassed,6,0.2,34,141
2024,20240018,Silvan Dillier,Alpecin-Deceuninck,Unclassed,4,5.2,34,141
2024,20240038,Clément Champoussin,Arkéa - B&B Hotels,Unclassed,6,0.4,33,143
2024,20240666,Jake Stewart,Israel - Premier Tech,Unclassed,6,0.3,33,143
2024,20240010,Robbe Ghys,Alpecin-Deceuninck,Unclassed,4,2.2,32,145
2024,20240837,Fabien Grellier,TotalEnergies,Unclassed,4,1.1,32,145
2024,20240689,Cedric Beullens,Lotto Dstny,Unclassed,6,0.2,31,147
2024,20240127,Matteo Sobrero,BORA - hansgrohe,Unclassed,6,0.3,30,148
2024,20240693,Harm Vanhoucke,Lotto Dstny,Unclassed,6,0.1,28,149
2024,20241407,Odd Christian Eiking,Uno-X Mobility,Unclassed,6,0.6,28,149
2024,20240687,Brent Van Moer,Lotto Dstny,Unclassed,6,0.1,24,151
2024,20240351,Davide Formolo,Movistar Team,Climber,6,1.7,24,151
2024,20240132,Marco Haller,BORA - hansgrohe,Unclassed,6,0.3,22,153
2024,20240167,Simon Geschke,Cofidis,Unclassed,6,2.9,20,154
2024,20240045,Daniel McLay,Arkéa - B&B Hotels,Unclassed,4,3.1,20,154
2024,20240432,Chris Harper,Team Jayco AlUla,Climber,6,1.4,16,156
2024,20240828,Thomas Gachignard,TotalEnergies,Unclassed,6,0.2,16,156
2024,20240877,Johannes Kulset,Uno-X Mobility,Unclassed,4,4.4,16,156
