year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2023,20230596,Wout Van Aert,5,Stage 5,0,0,2,0,12,0,20,12,46
2023,20230596,Wout Van Aert,6,Stage 6,0,0,6,0,16,16,20,20,78
2023,20230596,Wout Van Aert,7,Stage 7,0,0,2,0,0,0,0,16,18
2023,20230596,Wout Van Aert,8,Stage 8,160,0,4,0,0,0,0,16,180
2023,20230596,Wout Van Aert,9,Stage 9,0,0,4,0,0,0,0,10,14
2023,20230596,Wout Van Aert,10,Stage 10,0,0,4,0,0,0,0,10,14
2023,20230596,Wout Van Aert,11,Stage 11,70,0,4,0,0,0,0,10,84
2023,20230596,Wout Van Aert,12,Stage 12,0,0,4,0,0,0,0,10,14
2023,20230596,Wout Van Aert,13,Stage 13,0,0,4,0,0,0,0,10,14
2023,20230596,Wout Van Aert,14,Stage 14,16,0,2,0,0,15,0,14,47
2023,20230596,Wout Van Aert,15,Stage 15,180,0,4,2,0,22,0,16,224
2023,20230596,Wout Van Aert,16,Stage 16,160,0,4,2,0,0,0,0,166
2023,20230596,Wout Van Aert,17,Stage 17,0,0,4,1,0,0,0,16,21
2023,20230596,Wout Van Aert,18,Stage 18,0,0,0,0,0,0,0,0,0
2023,20230596,Wout Van Aert,19,Stage 19,0,0,0,0,0,0,0,0,0
2023,20230596,Wout Van Aert,20,Stage 20,0,0,0,0,0,0,0,0,0
2023,20230596,Wout Van Aert,21,Stage 21,0,0,0,0,0,0,0,0,0
2023,20230596,Wout Van Aert,22,Final Classifications,0,0,0,0,0,0,0,0,0
2023,20230123,Pello Bilbao,1,Stage 1,0,0,0,0,0,0,0,0,0
2023,20230123,Pello Bilbao,2,Stage 2,120,1,0,0,0,0,0,4,125
2023,20230123,Pello Bilbao,3,Stage 3,0,4,0,0,0,0,0,8,12
2023,20230123,Pello Bilbao,4,Stage 4,0,3,0,0,0,0,0,6,9
2023,20230123,Pello Bilbao,5,Stage 5,0,3,0,0,0,0,0,0,3
2023,20230123,Pello Bilbao,6,Stage 6,0,8,0,0,0,0,0,2,10
2023,20230123,Pello Bilbao,7,Stage 7,0,7,0,0,0,0,0,2,9
2023,20230123,Pello Bilbao,8,Stage 8,0,9,0,0,0,0,0,2,11
2023,20230123,Pello Bilbao,9,Stage 9,0,10,0,0,0,0,0,10,20
2023,20230123,Pello Bilbao,10,Stage 10,220,16,0,0,8,0,0,8,252
2023,20230123,Pello Bilbao,11,Stage 11,0,16,0,0,0,0,0,10,26
2023,20230123,Pello Bilbao,12,Stage 12,0,16,0,0,0,0,0,8,24
2023,20230123,Pello Bilbao,13,Stage 13,16,14,0,0,0,0,0,4,34
